English,VietNam
is,Là
not,không phải
tea,trà
you,bạn
tea,trà
you,bạn
than,hơn
Hey,Chào
Has,có
Has,có
born,sinh ra
tea,trà
this,điều này
in,trong
we,chúng tôi
it,nó
at,tại
have,có
for,vì
of the,sau đó
I,Tôi
Who,WHO
we,chúng tôi
there,đó
Goal,Mục tiêu
me,tôi
in,trong
of,của
Good,tốt
she,bà ấy
yew,cây thủy tùng
all,tất cả
more,hơn
No,Không
my,của tôi
you,bạn
Has,có
with,với
go,đi
Yes,Đúng
you,bạn
made,thực hiện
They,họ
ace,át chủ
be,là
to do,làm
himself,bản thân anh ấy
ace,át chủ
Was,là
safe,an toàn
what,gì
here,đây
_him_,_anh ta_
want,muốn
my,của tôi
tea,trà
nothing,không có gì
Said,Nói
es,es
gold,vàng
your,của bạn
Why,Tại sao
this,điều này
When,Khi nào
by,qua
His,Của anh ấy
your,của bạn
can,có thể
am going to,đang đi
say,Nói
n,n
How? 'Or' What,Làm sao? 'Hay cái gì
Well,Tốt
gold,vàng
very,rất
thank you,cảm ơn bạn
-have,-Hiện
Even,Cũng
never,không bao giờ
too,quá
see,xem
thing,Điều
going,đang đi
all,tất cả
of Them,của họ
thesis,luận văn
shoulds,shoulds
are,Chúng tôi
summer,mùa hè
your,của bạn
do,làm
to-have,có
can,có thể
other,khác
m,m
again,lần nữa
now,hiện nay
little,ít
my,của tôi
really,có thật không
time,thời gian
our,của chúng tôi
always,luôn luôn
fair,hội chợ
Oh,Oh
HAD,HAD
agreement,hợp đồng
seen,đã xem
world,thế giới
Some,Một số
times,thời gian
to go,đi
too much,quá nhiều
come,đến
think,nghĩ
God,Chúa Trời
-have,-Hiện
man,Đàn ông
dad,cha
safe,an toàn
to the,đến
before,trước
Was,là
need,nhu cầu
women,đàn bà
love,yêu và quý
no one,không một ai
HAD,HAD
in,trong
TRUE,THẬT
years,năm
wrong,Sai lầm
His,Của anh ấy
speak,nói
your,của bạn
death,tử vong
wants,mong muốn
HAD,HAD
Will Be,Sẽ là
Good,tốt
by,qua
better,tốt hơn
small,nhỏ
here,đây
your,của bạn
it,nó
tell,nói
a lot,rất nhiều
since,từ
must,phải
see,xem
mother,mẹ
going,đang đi
gentleman,quý ông
what,gì
already,đã sẵn sàng
girl,con gái
people,Mọi người
n,n
day,ngày
evening,tối
other,khác
ii,ii
all,tất cả
Hello,xin chào
It,nó
House,nhà ở
last name,tên họ
silver,bạc
our,của chúng tôi
thought,nghĩ
Fuck,fuck
night,đêm
dad,cha
it,nó
this,điều này
-have,-Hiện
rest,nghỉ ngơi
mom,mẹ
fear,nỗi sợ
come,đến
alone,một mình
Quickly,Mau
take,lấy
Looked,nhìn
air,không khí
is,Là
what,gì
past,quá khứ
know,biết rôi
please,xin vui lòng
things,nhiều thứ
less,ít hơn
his,của anh ấy
Between,Giữa
low,Thấp
call,gọi
past,quá khứ
Ha,Hà
head,cái đầu
tomorrow,Ngày mai
tall,cao
stopped,dừng lại
make,làm
want,muốn
Hey,Chào
hold on,Giữ lấy
huh,Huh
children,bọn trẻ
enough,đủ
reason,lý do
Would,Sẽ
They,họ
speak,nói
okay,Được chứ
days,ngày
of,của
moment,chốc lát
hour,giờ
Then,Sau đó
guys,chàng trai
men,đàn ông
love,yêu và quý
late,trễ
all,tất cả
are,Chúng tôi
kill,giết chết
eh,Hở
know,biết rôi
small,nhỏ
luck,sự may mắn
know,biết rôi
go,đi
know,biết rôi
: how much,: bao nhiêu
because,bởi vì
n,n
taken,Lấy
go,đi
problem,vấn đề
take,lấy
door,cửa
stroke,Cú đánh
Would Be,sẽ Be
come,đến
hui,hui
family,gia đình
job,việc làm
Could,Có thể
only,chỉ có
meaning,Ý nghĩa
gold,vàng
let's go,Đi nào
meet again,gặp lại
idea,ý tưởng
whore,điếm
pass,vượt qua
contre,contre
Understand,Hiểu biết
Heard,Đã nghe
find,tìm thấy
find,tìm thấy
old,cũ
just,chỉ
while,trong khi
Would Have,sẽ có
a Few,một ít
Warning,Cảnh báo
look for,tìm kiếm
under,Dưới
here is,đây là
Could,Có thể
blood,máu
can,có thể
exit,lối ra
question,câu hỏi
history,lịch sử
friends,bạn bè
come,đến
brother,Anh trai
stay,nghỉ
finished,đã kết thúc
city,thành phố
new,Mới
thing,Điều
here,đây
month,tháng
em,em
guy,chàng
eyes,đôi mắt
leash,buộc bằng dây xích
Great,Tuyệt quá
pretty,đẹp
long time,thời gian dài
police,cảnh sát
water,Nước
hours,giờ
Because,Bởi vì
imported,nhập cảng
hut,lều
Each,Mỗi
Earth,Trái đất
square,Quảng trường
kill,giết chết
type,kiểu
hand,tay
sorry,lấy làm tiếc
together,cùng với nhau
only,chỉ có
war,chiến tranh
handsome,đẹp
Towards,đối với
Mrs,Bà
pray,cầu nguyện
in front of,ở đằng trước
find,tìm thấy
go,đi
after-,sau-
Including,Kể cả
morning,buổi sáng
Their,Của chúng
No.,Không.
come,đến
Above,Ở trên
able to,có thể
help,Cứu giúp
Were,Là
ie,I E
end,kết thúc
be,là
first,Đầu tiên
kind,Tốt bụng
Would like to,Muốn
law,pháp luật
Given,Được
wait,chờ đợi
fire,ngọn lửa
shoulds,shoulds
child,đứa trẻ
bedroom,phòng ngủ
large,lớn
side,bên
cam,cam
far,xa
let,để cho
give,đưa cho
to play,chơi
Knew,biết
account,tài khoản
s,S
speak,nói
minutes,từ phút
look,nhìn
train,xe lửa
first,Đầu tiên
power,quyền lực
will-have,sẽ có
die,chết
latest,muộn nhất
Given,Được
ia,ia
husband,người chồng
listen,nghe
finally,cuối cùng
shoulds,shoulds
Placed,đặt
movie,bộ phim
Any,Bất kì
strong,mạnh
way,đường
country,Quốc gia
ready,Sẵn sàng
Mrs,Bà
women,đàn bà
hut,lều
Could,Có thể
hope,mong
left,trái
h,h
job,việc làm
in law,trong pháp luật
crazy,khùng
body,thân hình
yesterday,hôm qua
Whose,Ai
sorry,lấy làm tiếc
big,lớn
point,điểm
five,số năm
outside,ở ngoài
girls,cô gái
cause,nguyên nhân
live,trực tiếp
thought,nghĩ
boy,con trai
chief,chánh
high,cao
captain,đội trưởng
Would say,sẽ nói
baby,đứa bé
the one,một trong những
request,yêu cầu
possible,khả thi
n,n
oven,lò
new,Mới
years,năm
full,đầy
weekend,ngày cuối tuần
say,Nói
believe,tin
market,thị trường
tower,tòa tháp
school,trường học
Rather,Hơn
doctor,Bác sĩ
Those,"Những, cái đó"
truth,sự thật
view,lượt xem
